District,Month,Season,Temperature,Rainfall,Humidity,Recommended Crops
Mumbai Suburban,January,Winter,24-37°C,27 mm,65%,"Radish, Turmeric, Lettuce, Brinjal"
Ulhasnagar,June,Monsoon,20-45°C,54 mm,68%,"Ginger, Cucumber, Carrot, Okra"
Vasai-Virar,March,Monsoon,26-36°C,680 mm,80%,"Gourds, Malabar Spinach, Potato, Okra"
Kalyan-Dombivli,September,Monsoon,27-43°C,72 mm,52%,"Fenugreek, Okra, Brinjal, Cucumber"
Ulhasnagar,December,Monsoon,22-38°C,165 mm,50%,"Onion, Turmeric, Okra, Malabar Spinach"
Ulhasnagar,February,Monsoon,32-44°C,142 mm,69%,"Lettuce, Tomatoes, Onion, Brinjal"
Mumbai Suburban,March,Post-Monsoon,24-40°C,139 mm,42%,"Lettuce, Radish, Beans, Cucumber"
Thane,October,Post-Monsoon,21-40°C,682 mm,74%,"Potato, Cucumber, Fenugreek, Okra"
Navi Mumbai,September,Winter,24-38°C,188 mm,45%,"Cauliflower, Brinjal, Lettuce, Chili"
Thane,December,Post-Monsoon,31-44°C,655 mm,88%,"Brinjal, Corn, Lettuce, Spinach"
Navi Mumbai,April,Winter,34-45°C,134 mm,53%,"Carrot, Brinjal, Ginger, Cucumber"
Kalyan-Dombivli,August,Post-Monsoon,24-38°C,36 mm,64%,"Tomatoes, Cauliflower, Cucumber, Onion"
Vasai-Virar,May,Post-Monsoon,23-43°C,337 mm,82%,"Sweet Potato, Cucumber, Malabar Spinach, Peas"
Ulhasnagar,September,Post-Monsoon,20-36°C,489 mm,47%,"Gourds, Fenugreek, Peas, Corn"
Ulhasnagar,October,Summer,28-42°C,393 mm,56%,"Lettuce, Cabbage, Corn, Cauliflower"
Mumbai Suburban,November,Post-Monsoon,23-44°C,184 mm,42%,"Malabar Spinach, Beans, Cabbage, Chili"
Mumbai Suburban,December,Post-Monsoon,30-41°C,145 mm,69%,"Beans, Cauliflower, Cabbage, Carrot"
Mumbai City,July,Monsoon,34-38°C,406 mm,65%,"Peas, Beans, Spinach, Brinjal"
Mumbai Suburban,September,Winter,35-39°C,114 mm,63%,"Chili, Okra, Beans, Corn"
Navi Mumbai,February,Summer,21-43°C,225 mm,45%,"Chili, Gourds, Okra, Carrot"
Mumbai City,October,Summer,31-41°C,67 mm,40%,"Okra, Turmeric, Gourds, Spinach"
Ulhasnagar,April,Post-Monsoon,28-36°C,438 mm,51%,"Malabar Spinach, Beans, Sweet Potato, Cucumber"
Navi Mumbai,May,Summer,28-38°C,58 mm,63%,"Fenugreek, Carrot, Okra, Sweet Potato"
Bhiwandi,February,Summer,30-38°C,361 mm,67%,"Turmeric, Sweet Potato, Chili, Malabar Spinach"
Vasai-Virar,July,Summer,28-45°C,185 mm,50%,"Spinach, Brinjal, Chili, Potato"
Thane,February,Post-Monsoon,21-41°C,68 mm,73%,"Gourds, Peas, Cucumber, Carrot"
Mumbai City,April,Monsoon,32-37°C,213 mm,74%,"Cucumber, Cabbage, Sweet Potato, Turmeric"
