State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,17/02/2025,3300,3500,3500
"Andhra Pradesh","East Godavari",Ambajipeta,Banana,"Banana - Ripe",Medium,17/02/2025,1000,2400,1700
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies",Byadgi,FAQ,17/02/2025,10000,13500,11500
"Andhra Pradesh",Guntur,Tenali,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,17/02/2025,7700,7900,7800
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,17/02/2025,4089,7492,7366
"Andhra Pradesh",Kurnool,Kurnool,Ajwan,Other,FAQ,17/02/2025,2500,23555,11910
"Andhra Pradesh",Kurnool,Kurnool,"Arhar (Tur/Red Gram)(Whole)",Local,FAQ,17/02/2025,4849,7611,7311
"Andhra Pradesh",Kurnool,Kurnool,"Bajra(Pearl Millet/Cumbu)",Local,Non-FAQ,17/02/2025,2159,2159,2159
"Andhra Pradesh",Kurnool,Kurnool,"Dry Chillies",Local,FAQ,17/02/2025,3809,12900,8919
"Andhra Pradesh",Kurnool,Kurnool,Maize,Local,Non-FAQ,17/02/2025,2120,2190,2190
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 1",FAQ,17/02/2025,3600,4250,3925
Bihar,Kishanganj,Bahadurganj,"Red Gram",AL-15,FAQ,17/02/2025,10100,10300,10200
Gujarat,Ahmedabad,Ahmedabad,"Banana - Green",Other,FAQ,17/02/2025,1500,2500,2200
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,17/02/2025,5000,9000,7500
Gujarat,Ahmedabad,Sanad,Wheat,Sharbati,Non-FAQ,17/02/2025,2796,3220,3008
Gujarat,Ahmedabad,Viramgam,"Bengal Gram(Gram)(Whole)","Desi (Whole)",Non-FAQ,17/02/2025,5000,5565,5285
Gujarat,Ahmedabad,Viramgam,Wheat,Other,FAQ,17/02/2025,2905,3120,3010
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,FAQ,17/02/2025,5160,7235,6885
Gujarat,Amreli,Amreli,"Bengal Gram(Gram)(Whole)",Other,FAQ,17/02/2025,4500,5645,5555
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,FAQ,17/02/2025,6075,6860,6860
Gujarat,Amreli,Amreli,Wheat,"Rajasthan Tukdi",FAQ,17/02/2025,2680,3535,3220
Gujarat,Amreli,Dhari,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,17/02/2025,5625,5630,5630
Gujarat,Amreli,Dhari,Groundnut,Bold,Non-FAQ,17/02/2025,4450,5380,5210
Gujarat,Amreli,Dhari,Soyabean,Local,Non-FAQ,17/02/2025,3500,3850,3850
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,17/02/2025,2500,3265,3000
Gujarat,Amreli,Savarkundla,"Castor Seed","Castor seed",FAQ,17/02/2025,5500,5955,5750
Gujarat,Amreli,Savarkundla,Groundnut,Bold,Non-FAQ,17/02/2025,5000,5205,5100
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cabbage,Cabbage,FAQ,17/02/2025,200,300,250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,17/02/2025,1500,2500,2000
Gujarat,Anand,"Khambhat(Grain Market)","Bajra(Pearl Millet/Cumbu)",Other,FAQ,17/02/2025,2400,2900,2700
Gujarat,Anand,"Khambhat(Grain Market)",Paddy(Dhan)(Common),Paddy,FAQ,17/02/2025,2750,3225,3000
Gujarat,Anand,"Khambhat(Grain Market)",Wheat,Other,FAQ,17/02/2025,2500,3000,2750
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,17/02/2025,300,500,400
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Potato,Other,FAQ,17/02/2025,1200,1700,1500
Gujarat,Banaskanth,Deesa,Groundnut,Other,FAQ,17/02/2025,4675,5425,5250
Gujarat,Banaskanth,Deesa,Mustard,Other,FAQ,17/02/2025,5100,5665,5550
Gujarat,Banaskanth,Deesa(Bhildi),Groundnut,Other,FAQ,17/02/2025,4500,4750,4750
Gujarat,Banaskanth,Dhanera,Mataki,Other,FAQ,17/02/2025,4755,5150,4970
Gujarat,Banaskanth,Dhanera,Rajgir,Rajgir,FAQ,17/02/2025,5450,5955,5730
Gujarat,Banaskanth,Diyodar,"Castor Seed","Castor seed",FAQ,17/02/2025,6200,6300,6250
Gujarat,Banaskanth,Palanpur,Rajgir,Other,FAQ,17/02/2025,5275,6355,5815
Gujarat,Banaskanth,Thara,Jowar(Sorghum),Other,FAQ,17/02/2025,5055,5200,5127.5
Gujarat,Banaskanth,Vadgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,17/02/2025,2625,2625,2625
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,17/02/2025,1200,2500,2000
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,FAQ,17/02/2025,1200,1500,1300
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,Other,FAQ,17/02/2025,6600,7200,6900
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,FAQ,17/02/2025,2000,2200,2100
Gujarat,Bhavnagar,Bhavnagar,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,17/02/2025,2290,2740,2515
Gujarat,Bhavnagar,Bhavnagar,Onion,Red,FAQ,17/02/2025,1000,2900,1950
Gujarat,Bhavnagar,Bhavnagar,Wheat,Local,FAQ,17/02/2025,2900,3300,3100
Gujarat,Bhavnagar,"Mahuva(Station Road)","Arhar (Tur/Red Gram)(Whole)",Local,FAQ,17/02/2025,4500,7500,6000
Gujarat,Bhavnagar,"Mahuva(Station Road)",Groundnut,G20,FAQ,17/02/2025,4900,5455,5250
Gujarat,Bhavnagar,"Mahuva(Station Road)",Onion,White,FAQ,17/02/2025,1155,2430,1750
Gujarat,Bhavnagar,Palitana,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,17/02/2025,2250,2850,2550
Gujarat,Bhavnagar,Palitana,"Bengal Gram(Gram)(Whole)",Medium,FAQ,17/02/2025,4750,5500,5125
Gujarat,Bhavnagar,Palitana,"Corriander seed",Other,FAQ,17/02/2025,6000,7750,6875
Gujarat,Bhavnagar,Palitana,Lemon,Lemon,FAQ,17/02/2025,3500,5000,4250
Gujarat,Bhavnagar,Taleja,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,17/02/2025,9725,10695,10210
Gujarat,Dahod,Dahod,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,17/02/2025,5500,6500,6000
Gujarat,Dahod,"Dahod(Veg. Market)","Bhindi(Ladies Finger)",Bhindi,FAQ,17/02/2025,1200,3700,3000
Gujarat,Dahod,"Dahod(Veg. Market)",Onion,Onion,FAQ,17/02/2025,1500,3500,3000
Gujarat,Dahod,"Dahod(Veg. Market)",Raddish,Raddish,FAQ,17/02/2025,400,1500,1000
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,17/02/2025,1580,1600,1590
Gujarat,Dahod,Zalod(Zalod),Maize,Other,FAQ,17/02/2025,2500,2750,2625
Gujarat,Dahod,Zalod(Zalod),Wheat,Other,FAQ,17/02/2025,2800,2900,2850
Gujarat,"Devbhumi Dwarka",Bhanvad,Cotton,Bunny,Non-FAQ,17/02/2025,6000,6500,6400
Gujarat,Gandhinagar,Dehgam,Guar,Other,FAQ,17/02/2025,4750,5000,4875
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,17/02/2025,4700,4900,4800
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,17/02/2025,4500,4500,4500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Brinjal,Brinjal,FAQ,17/02/2025,1000,1000,1000
